Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Strength,Kalamazoo,227,Roger_Hood,7.6,20.92,0.789,Off Screen,0.041,0.8,0.333
Offensive,Strength,Kalamazoo,227,Roger_Hood,7.6,20.92,0.789,Cut,0.091,0.909,0.5
Offensive,Strength,Kalamazoo,227,Roger_Hood,7.6,20.92,0.789,Offensive Rebounds (put backs),0.062,0.8,0.385
Offensive,Strength,Kalamazoo,227,Roger_Hood,7.6,20.92,0.789,Transition,0.24,1.034,0.588
Offensive,Strength,Albion,15,Robert_Ryan,3.56,18.04,0.659,Spot Up,0.523,0.812,0.352
Offensive,Strength,Albion,15,Robert_Ryan,3.56,18.04,0.659,Transition,0.114,1.133,0.375
Offensive,Strength,Albion,15,Robert_Ryan,3.56,18.04,0.659,Off Screen,0.023,0.667,0.333
Offensive,Strength,Albion,15,Robert_Ryan,3.56,18.04,0.659,Cut,0.023,1.667,1
Offensive,Strength,UWPlatteville,267,Robert_Duax,15.79310345,27,1.061,Transition,0.158,1.149,0.625
Offensive,Strength,UWPlatteville,267,Robert_Duax,15.79310345,27,1.061,Cut,0.076,1.344,0.655
Offensive,Strength,UWPlatteville,267,Robert_Duax,15.79310345,27,1.061,Spot Up,0.286,1.116,0.443
Offensive,Strength,UWPlatteville,267,Robert_Duax,15.79310345,27,1.061,Hand Off,0.031,1.308,0.545
Offensive,Strength,UWPlatteville,267,Robert_Duax,15.79310345,27,1.061,Offensive Rebounds (put backs),0.035,1.6,0.818
Offensive,Strength,UWPlatteville,267,Robert_Duax,15.79310345,27,1.061,P&R Ball Handler,0.059,1.12,0.571
Offensive,Strength,GustavusAdolphus,307,Riley_Sharbono,14.20833333,30.04166667,1.012,Cut,0.093,1.452,0.692
Offensive,Strength,GustavusAdolphus,307,Riley_Sharbono,14.20833333,30.04166667,1.012,Hand Off,0.021,1.286,0.5
Offensive,Strength,GustavusAdolphus,307,Riley_Sharbono,14.20833333,30.04166667,1.012,Offensive Rebounds (put backs),0.039,1.231,0.625
Offensive,Strength,GustavusAdolphus,307,Riley_Sharbono,14.20833333,30.04166667,1.012,Off Screen,0.151,1.06,0.477
Offensive,Strength,WheatonIL,207,Ricky_Samuelson,15.65384615,32.23076923,1.249,P&R Roll Man,0.009,1.667,0.667
Offensive,Strength,WheatonIL,207,Ricky_Samuelson,15.65384615,32.23076923,1.249,Off Screen,0.162,1.404,0.587
Offensive,Strength,WheatonIL,207,Ricky_Samuelson,15.65384615,32.23076923,1.249,Cut,0.146,1.489,0.756
Offensive,Strength,WheatonIL,207,Ricky_Samuelson,15.65384615,32.23076923,1.249,Offensive Rebounds (put backs),0.037,1.333,0.6
Offensive,Strength,WheatonIL,207,Ricky_Samuelson,15.65384615,32.23076923,1.249,Spot Up,0.252,1.259,0.474
Offensive,Strength,Wabash,195,Rhett_Helt,2,9.615384615,1,P&R Ball Handler,0.038,2,1
Offensive,Strength,Wabash,195,Rhett_Helt,2,9.615384615,1,Offensive Rebounds (put backs),0.038,2,1
Offensive,Strength,Wabash,195,Rhett_Helt,2,9.615384615,1,Miscellaneous,0.038,2,
Offensive,Strength,WheatonIL,206,Reagan_Jones,1.125,3.75,0.818,Offensive Rebounds (put backs),0.273,1.333,0.667
Offensive,Strength,WheatonIL,206,Reagan_Jones,1.125,3.75,0.818,Transition,0.091,2,1
Offensive,Strength,NorthPark,247,Raysean_Jones,0.5,4,0.2,Cut,0.2,1,
Offensive,Strength,Albion,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Transition,0.054,1.727,0.9
Offensive,Strength,Albion,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Cut,0.123,1,0.571
Offensive,Strength,Albion,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Offensive Rebounds (put backs),0.137,1.214,0.636
Offensive,Strength,Albion,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,P&R Roll Man,0.015,1,0.333
Offensive,Strength,OlivetCollege,282,Quintin_Way,0.611111111,4.277777778,0.579,Transition,0.211,0.75,0.333
Offensive,Strength,OlivetCollege,282,Quintin_Way,0.611111111,4.277777778,0.579,Spot Up,0.105,1,0.5
Offensive,Strength,OlivetCollege,282,Quintin_Way,0.611111111,4.277777778,0.579,Isolation,0.158,1,0.333
Offensive,Strength,OlivetCollege,282,Quintin_Way,0.611111111,4.277777778,0.579,Cut,0.053,2,1
Offensive,Strength,NorthPark,246,Quinn_Williams,1.4,6.5,0.412,P&R Ball Handler,0.324,0.727,0.429
