team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,25,Jordan_Thomas,17.75,33.91666667,1.076,Off Screen,0.224,1.136,0.481
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,25,Jordan_Thomas,17.75,33.91666667,1.076,Transition,0.127,1.36,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,25,Jordan_Thomas,17.75,33.91666667,1.076,P&R Ball Handler,0.183,1.097,0.491
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,25,Jordan_Thomas,17.75,33.91666667,1.076,Post-Up,0.003,2,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,24,Jacob_Polglase,2.230769231,9.307692308,0.806,P&R Ball Handler,0.083,1,0.333
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,24,Jacob_Polglase,2.230769231,9.307692308,0.806,Spot Up,0.528,0.947,0.316
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,24,Jacob_Polglase,2.230769231,9.307692308,0.806,Cut,0.083,1.667,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,22,Derek_Mason_II,8.875,23.58333333,0.775,Hand Off,0.022,0.833,0.25
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,22,Derek_Mason_II,8.875,23.58333333,0.775,Post-Up,0.004,3,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,22,Derek_Mason_II,8.875,23.58333333,0.775,Offensive Rebounds (put backs),0.03,1,0.6
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,22,Derek_Mason_II,8.875,23.58333333,0.775,Isolation,0.124,1.061,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,22,Derek_Mason_II,8.875,23.58333333,0.775,P&R Ball Handler,0.146,0.872,0.483
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,22,Derek_Mason_II,8.875,23.58333333,0.775,Spot Up,0.296,0.899,0.368
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,21,Dan_Messina,0.4,1.8,0.5,Miscellaneous,0.5,1,
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,20,Brett_Czerak,1.333333333,4.333333333,0.667,Off Screen,0.333,1,0.5
