Team_Cumulative_ID,Team_ID,Player_ID,GP,Min,SST,SSTexPts ,Pts , Ast ,Turnover,Ast_To_Ratio,Stl,  StlPos ,  Blk,  TtlReb ,  OffReb ,  DefReb,Field_Goals_Attempt,Field_Goals_Made,Field_Goals_Missed,Field_Goal_Percentage,Adjusted_Field_Goal_Percentage,Two_Field_Goals_Attempt,Two_Field_Goals_Made,Two_Field_Goals_Missed,Two_Field_Goal_Percentage,Three_Field_Goals_Attempt,Three_Field_Goals_Made,Three_Field_Goals_Missed,Three_Field_Goal_Percentage,Free_Throw_Attempts,Free_Throw_Made,Free_Throw_Missed,Free_Throw_Percentage,And_One,Personal_Fouls_Taken,Total_Personal_Fouls_Commited
500,27,430,27,695,1.09,0.46,276,33,50,0.66,15,21,41,188,55,133,199,123,76,0.618,0.618,199,123,76,0.618,0,0,0,-,52,30,22,0.577,6,41,54
501,27,438,27,667,1.32,0.27,407,42,62,0.68,13,23,14,147,21,126,310,145,165,0.468,0.544,193,98,95,0.508,117,47,70,0.402,80,70,10,0.875,7,73,58
502,27,442,3,6,0.38,0.67,0,1,0,-,1,0,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,-,0,0,1
503,27,437,15,72,0.85,0.46,16,4,4,1,5,2,2,13,6,7,13,6,7,0.462,0.5,8,5,3,0.625,5,1,4,0.2,3,3,0,1,1,3,10
504,27,444,15,224,0.5,0.35,25,24,10,2.4,13,5,1,20,3,17,24,11,13,0.458,0.479,20,10,10,0.5,4,1,3,0.25,3,2,1,0.667,1,7,20
505,27,434,9,33,1.49,0.39,19,0,1,0,1,0,1,8,3,5,11,8,3,0.727,0.727,10,8,2,0.8,1,0,1,0,3,3,0,1,1,2,6
506,27,440,27,572,0.73,0.2,190,41,59,0.69,20,23,4,83,20,63,181,65,116,0.359,0.425,97,41,56,0.423,84,24,60,0.286,45,36,9,0.8,4,36,68
507,27,441,27,753,1.31,0.21,455,50,68,0.74,28,42,1,120,19,101,346,153,193,0.442,0.517,205,101,104,0.493,141,52,89,0.369,115,97,18,0.844,9,83,66
508,28,458,5,7,0.54,0,3,0,0,-,0,0,0,0,0,0,2,1,1,0.5,0.75,1,0,1,0,1,1,0,1,0,0,0,-,0,0,1
509,28,452,25,539,0.41,0.16,106,50,38,1.32,9,19,0,37,9,28,127,36,91,0.284,0.354,69,18,51,0.261,58,18,40,0.31,22,16,6,0.727,2,22,33
510,28,449,25,492,0.76,0.18,139,37,25,1.48,10,15,0,38,5,33,111,40,71,0.36,0.423,59,26,33,0.441,52,14,38,0.269,54,45,9,0.833,2,39,23
511,28,448,7,23,0.53,0.35,3,1,1,1,0,1,0,6,2,4,4,1,3,0.25,0.25,4,1,3,0.25,0,0,0,-,2,1,1,0.5,0,1,4
512,28,457,21,299,0.9,0.61,57,14,11,1.27,16,5,9,94,31,63,50,24,26,0.48,0.48,48,24,24,0.5,2,0,2,0,15,9,6,0.6,0,10,31
513,28,451,25,381,0.61,0.25,103,32,19,1.68,8,7,1,42,8,34,102,37,65,0.363,0.441,50,21,29,0.42,52,16,36,0.308,20,13,7,0.65,3,18,41
514,28,450,25,779,1.17,0.21,429,59,88,0.67,32,48,15,102,29,73,350,162,188,0.463,0.496,260,139,121,0.535,90,23,67,0.256,102,82,20,0.804,12,78,65
516,28,461,14,83,0.91,0.16,41,8,8,1,0,4,0,12,1,11,27,13,14,0.482,0.685,5,2,3,0.4,22,11,11,0.5,6,4,2,0.667,0,4,7
517,28,456,24,602,1.16,0.36,233,57,49,1.16,29,31,9,96,28,68,153,71,82,0.464,0.546,89,46,43,0.517,64,25,39,0.391,86,66,20,0.767,4,67,58
518,28,455,19,78,0.68,0.36,11,4,3,1.33,2,2,2,14,4,10,11,3,8,0.273,0.273,10,3,7,0.3,1,0,1,0,6,5,1,0.833,0,3,6
519,28,462,18,91,0.58,0.21,22,8,8,1,5,6,0,7,2,5,19,8,11,0.421,0.474,13,6,7,0.462,6,2,4,0.333,8,4,4,0.5,0,6,10
520,28,446,3,10,0.89,0.2,4,0,0,-,0,0,0,2,0,2,3,1,2,0.333,0.5,0,0,0,-,3,1,2,0.333,2,1,1,0.5,0,1,2
522,28,460,6,24,0.53,0.25,2,0,3,0,0,3,0,8,4,4,3,0,3,0,0,2,0,2,0,1,0,1,0,2,2,0,1,0,1,4
523,28,454,8,15,0.24,0.27,2,0,0,-,0,0,1,2,0,2,5,1,4,0.2,0.2,4,1,3,0.25,1,0,1,0,0,0,0,-,0,0,1
524,28,447,6,13,0.56,0.15,4,1,1,1,1,0,0,0,0,0,3,2,1,0.667,0.667,3,2,1,0.667,0,0,0,-,0,0,0,-,0,0,0
525,28,459,24,226,0.94,0.54,54,8,10,0.8,7,3,12,67,22,45,47,22,25,0.468,0.468,47,22,25,0.468,0,0,0,-,13,10,3,0.769,1,9,48
526,28,453,25,832,1.45,0.26,537,24,67,0.36,21,35,2,200,55,145,418,193,225,0.462,0.494,339,166,173,0.49,79,27,52,0.342,160,124,36,0.775,12,123,64
